Region,Division,State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
South,East South Central,Alabama,6097,5564,5283,6115,7260,6916,8098,8448,8288,8842,10185,10835,10994,12390,13338,14201,14248,15293,15682,15578,17320,18423,17653,16471,17204,18398,22616,22833,23052,24329,28630,34518,36052,32676,28844,26894,24159,24379,22286,21421,21620,19582,19931,19331,19324,19678
West,Pacific,Alaska,236,208,225,272,375,377,409,437,486,624,840,1112,1204,1269,1527,1900,2063,1804,1781,1994,1919,2537,2732,2940,3108,3031,3046,2391,2682,2623,2885,3499,3877,4557,4644,4656,4417,4270,4015,3908,3554,3735,3627,3877,4159,4194
West,Mountain,Arizona,2704,2288,2610,3027,3368,3092,3272,3892,4402,5742,6564,7407,8731,9877,12202,12184,10335,11347,12996,14528,17673,16082,14785,14642,15756,19202,21835,20742,21147,21320,23911,25152,25706,28142,28653,30095,27963,28411,26984,26334,27281,28675,30171,28638,28952,30478
South,West South Central,Arkansas,1924,1809,1667,1991,2641,2662,3185,4320,4360,4390,4276,4680,4840,5905,6521,7369,6410,6924,7522,7984,7656,7119,7438,6930,7549,8199,9365,9839,10237,11397,12511,14072,13831,14381,14598,13741,13161,13293,12442,10848,11904,12190,11501,12449,13814,14659
West,Pacific,California,37558,38154,39846,42419,48026,52490,57718,67446,81293,89878,94741,104872,110667,116563,127658,138842,144041,154582,165626,184087,210290,208485,201429,194491,195589,201763,248370,253943,261912,284136,311051,331122,345624,336381,318395,305154,274996,257582,229883,207879,210531,212855,208388,205551,189175,190178
West,Mountain,Colorado,2408,2659,2990,2555,3119,3007,3340,3789,5387,6275,7874,8530,9555,10088,10728,11735,10770,13407,13296,14472,15215,15755,15354,14955,14548,15219,17105,15409,15548,15636,17328,18887,20086,20229,18632,16494,15463,14139,15008,13811,14367,15492,15882,15757,17121,18498
Northeast,New England,Connecticut,928,878,938,1192,1773,1973,2146,2804,3825,4415,5167,5968,6138,6421,7045,8308,8516,8774,9762,12902,12768,14033,12597,11767,12422,12758,13578,13455,14759,16576,18201,17761,16252,14949,14916,13293,13490,12781,11993,11342,11058,11492,10807,11045,10113,9635
South,South Atlantic,Delaware,375,318,338,424,541,561,655,948,1288,1588,1795,2060,2181,2016,2539,2270,1872,2224,2569,3127,2824,3044,3370,2746,2671,2695,2703,2774,2981,3745,4365,4857,4280,4801,4549,5198,4845,5753,5672,5534,5363,4868,4836,5525,5105,5332
South,South Atlantic,District of Columbia,4230,4491,4750,4740,5112,5804,7155,9252,12180,17038,16846,16084,12607,11626,11590,12704,10399,9843,9515,10553,12772,14468,13397,11933,10725,10171,9423,10016,11914,12937,14919,14671,16685,16888,15177,14744,13411,10708,8988,8448,8626,9931,9322,9061,7590,8032
South,South Atlantic,Florida,11061,11376,10489,12150,16539,17386,20069,23399,27913,29411,33824,38575,40252,46419,54821,57540,54597,58052,65792,73881,94095,98109,93411,88292,95270,106971,121013,123168,138343,140575,160990,157243,162827,164975,160016,151711,151350,149996,140016,129044,129777,130713,128721,124280,123754,125957
South,South Atlantic,Georgia,6262,6269,6200,7019,8285,8777,9066,8536,9903,11235,13976,15898,17823,19738,21587,22608,21030,22203,24545,28594,29993,30527,26963,26179,27935,30311,35869,35868,42589,47357,48996,48894,49496,50019,47103,47317,46966,45408,43762,41585,41319,41671,39271,39435,40217,40725
West,Pacific,Hawaii,138,161,256,215,575,491,598,591,662,684,938,1830,1258,1295,1762,1889,2034,2012,2423,2651,2889,2424,2542,2579,2409,2313,2604,2851,2810,3004,3113,2744,2998,3061,3091,3509,3322,3299,2946,2785,2954,3117,3262,3400,3213,3253
West,Mountain,Idaho,255,222,234,362,537,493,461,478,518,806,879,917,1085,1264,1465,1670,1884,2030,2076,2613,2957,2717,2501,2361,2355,2360,2232,2138,2345,2582,2776,3016,3003,3097,3238,3745,3177,3107,3468,3066,3267,3211,3419,3362,3452,3670
Midwest,East North Central,Illinois,36802,37156,38926,33627,36916,34345,39116,42956,44776,49543,52006,53436,57162,62457,69806,74699,70266,70910,76084,83540,91753,90781,88644,83629,83441,82448,93454,92216,93557,98611,110575,119955,113664,112260,112928,117836,105482,102476,97291,83621,81196,79504,75759,70376,69365,70392
Midwest,East North Central,Indiana,3945,4044,4191,4819,6564,6695,7196,8143,10229,10141,12184,13031,12968,13696,15631,17677,16721,16553,17383,18254,20633,18672,16444,15547,16781,17014,16937,18169,21187,22735,26275,28349,28791,27941,30205,30451,31366,30179,25423,22261,21230,22734,22001,21842,20294,20302
Midwest,West North Central,Iowa,656,643,559,629,1007,1067,1214,1608,1882,1918,2241,2822,2519,2970,3455,4039,3813,4145,4674,5259,5826,5915,5018,5262,5781,6106,6703,6553,7279,7563,8321,8477,7816,9159,8914,10071,7771,8841,8916,8034,7796,7865,8388,8175,8499,8642
Midwest,West North Central,Kansas,1272,1282,1477,1831,2573,2392,2517,3248,3463,3873,4561,4843,4737,4956,6272,6307,6529,7206,7471,8376,9168,8796,8088,7919,8147,8716,9076,8932,9083,10073,11093,12465,12888,12564,11314,10792,10642,11151,10972,10159,10470,10909,10229,10831,10330,10634
South,East South Central,Kentucky,2957,2907,2963,2849,3486,3463,4191,4484,5317,5745,7157,7717,7446,7356,7857,8967,8987,8077,7807,8748,9711,10599,11550,11967,10342,11384,12467,12589,12284,13302,14386,16262,20107,17530,16991,14079,12448,12386,12909,12212,11903,10448,11101,10232,10152,11134
South,West South Central,Louisiana,4990,4508,4570,5798,7140,7178,8689,10071,11742,13492,15063,15208,15712,16020,17794,18137,18161,20577,23197,27229,27926,27478,29185,28444,30251,31108,34128,30916,31711,34257,37914,40438,42209,45600,42369,43741,40426,37248,34057,32033,30440,30678,29690,28622,28844,26889
